place_name,place_country,place_maps,place_desc,place_att,place_airport
Amsterdam,Netherlands,"https://maps.google.com/?q=Amsterdam,+Netherlands&ftid=0x47c63fb5949a7755:0x6600fd4cb7c0af8d","Amsterdam ‚Äì A city rich with heritage and ribboned with canals that draw millions to its heart each year. Get a close look at the wonders of this Dutch city and find no shortage of travel inspiration. 

When ready, browse vacation packages to Amsterdam: https://www.expedia.com/Amsterdam.d178229.Destination-Travel-Guides
  
#Amsterdam is the largest city in the Netherlands, also known as Holland. The fun-loving Dutch welcome 3.5 million tourists a year, making Amsterdam one of the top destinations in Europe.

No Amsterdam #vacation is complete without exploring some of its 165 canals and 1,000 bridges. This city is rich in history; when you set out to explore ‚ÄúThe Venice of the North,‚Äù you‚Äôll find buildings dating back to the 13th century, as well as Dam Square and its royal palace. 

If you‚Äôve got an appreciation for fine art, your Amsterdam #sightseeing should pause at the Rijksmuseum, where you can find the works of Rembrandt and other Dutch masters. Up for a pint? Stop by the old Heineken Brewery and learn about the lager brewing process. 

For now, we hope you enjoy watching this #travel #guide as much as we enjoyed making it. 

More travel information around Amsterdam: https://www.expedia.com/Amsterdam.dx178229

Subscribe to Expedia‚Äôs YouTube Channel for great travel videos and join the conversation on the best vacation ideas. 

---------

Follow us on social media: 
FACEBOOK: https://www.facebook.com/expedia
TWITTER: https://twitter.com/Expedia
INSTAGRAM: https://instagram.com/expedia/
PINTEREST: https://www.pinterest.com/expedia","['Amsterdam Free Walking Tour','Heineken Experience','75-Minute Water Colors Cruise','Van Gogh Museum Ticket','Johan Cruijff ArenA Stadium 75-Minute Tour','AíDAM Lookout Premium Ticket Including 2 Drinks','Keukenhof Entry Tickets and Transfers','Skip the Line Ticket and Audio Guide: Amsterdam Royal Palace','Ultimate Party Pub Crawl ñ Red Light District','Volendam Marken & Windmills with Free 1-Hour Canal Cruise']",Amsterdam Schiphol (AMS) Airport
Barcelona,Spain,"https://maps.google.com/?q=Barcelona,+Spain&ftid=0x12a49816718e30e5:0x44b0fb3d4f47660a","Barcelona ‚Äì dive into the Catalan creativity that has defined the city and draws millions to its heart each year. After this video, you‚Äôll see why!

#Barcelona is perhaps most famous for the masterpiece La Sagrada Familia and the other works of architect, Antonio Gaudi, strewn across the city. Be sure not to miss them, but keep in mind that this is a #vacation #destination with so much more on offer. A #trip to Barcelona means a stay in one of Europe‚Äôs great cities. 

From its world heritage sites to its sunlit beaches, and all the galleries and museums in between, Barcelona will keep you busy. Follow our journey through the beautiful Spanish city and note your favorite #attractions for when you start planning a trip of your own!

For now, we hope you enjoy watching this #travel #guide as much as we enjoyed making it. 

More travel information around Barcelona: 
https://www.expedia.com/Barcelona.dx179992

Subscribe to Expedia‚Äôs YouTube Channel for great travel videos and join the conversation on the best vacation ideas!

---------

Follow us on social media: 
FACEBOOK: https://www.facebook.com/expedia
TWITTER: https://twitter.com/Expedia
INSTAGRAM: https://instagram.com/expedia/
PINTEREST: https://www.pinterest.com/expedia","['Las Ramblas','Sagrada FamÌlia','Casa BatllÛ','Casa Mil‡','City Beaches','La Boqueria','Camp Nou','Park G¸ell','Barcelona City History Museum','MontjuÔc']",Josep Tarradellas Barcelona-El Prat Airport
Berlin,Germany,"https://maps.google.com/?q=Berlin,+Germany&ftid=0x47a84e373f035901:0x42120465b5e3b70","Berlin ‚Äì Germany‚Äôs capital city has had a long and storied past, making it a fascinating place to visit today. Check out the top sights in Berlin!

When ready, browse vacation packages to Berlin: https://www.expedia.com/Berlin.d179892.Destination-Travel-Guides

Your #Berlin #vacation should include a #tour of the incredible architecture of the city owed to its lengthy history. From the Charlottenburg Palace to the Bahn Tower, you‚Äôll find plenty to look at in the city‚Äôs downtown area. Stop by Prater Garten for a German brew‚Äîbuilt in 1837, it‚Äôs one of few buildings that has survived both World Wars. 

#Visit Museum Island, located in the Spree River. It features five museums where you can explore the art of numerous cultures, or wander through a replica of the Ishtar Gate. 

If you‚Äôre looking for a thriving nightlife, Berlin is the place to go. When the sun sets on the city, the party really begins, and you can find any number of clubs where you can dance until long after the sun comes up.

For now, we hope you enjoy watching this #travel #guide as much as we enjoyed making it. 

More travel information around Berlin: https://www.expedia.com/Berlin.dx179892

Subscribe to Expedia‚Äôs YouTube Channel for great travel videos and join the conversation on the best vacation ideas. 

---------

Follow us on social media: 
FACEBOOK: https://www.facebook.com/expedia
TWITTER: https://twitter.com/Expedia
INSTAGRAM: https://instagram.com/expedia/
PINTEREST: https://www.pinterest.com/expedia","['Brandenburg Gate','Reichstag','Tiergarten','Victory Column (Siegess‰ule)','Museum Island','Neues Museum','Gem‰ldegalerie','Gedenkst‰tte Berliner Mauer','Pergamon Museum',' Deutsches Historisches Museum']",Berlin Tegel
Budapest,Hungary,"https://maps.google.com/?q=Budapest,+Hungary&ftid=0x4741c334d1d4cfc9:0x400c4290c1e1160","https://www.expedia.com/Budapest.d179994.Destination-Travel-Guides

The Hungarian capital, Budapest, is situated on the banks of the Danube in Central Europe. It‚Äôs the political, economic and cultural heart of the nation, and one of the most beautiful and livable cities on the continent.
  
For a sweeping overview of the city head to the Buda side of the Danube and take in the views from the 19th century ramparts on Gell√©rt Hill. Just upriver is Budapest‚Äôs oldest area, The Castle District, home to Buda Castle, Matthias Church and Fisherman‚Äôs Bastion.
 
Once you‚Äôve explored the heights of Castle Hill, cross the Sz√©chenyi Chain Bridge to the Pest side of the city and follow the riverbank upstream to Hungary‚Äôs Parliament Building. Nearby, pay your respects at the Shoes on the Danube Memorial, a sobering tribute to the thousands who were executed here during The Second World War.
 
After admiring the magnificent dome of St. Stephen‚Äôs Basilica, allow yourself to be swept up Andrassy Avenue. This world heritage listed boulevard opens out onto Heroes‚Äô Square and City Park.  The park is home to the Sz√©chenyi Thermal Baths, just one of the city‚Äôs many lavish bathhouses. For many in Budapest, ‚Äútaking the waters‚Äù is a weekly ritual.
 
Whether it‚Äôs the sparkling Danube or the thermal springs, there‚Äôs something truly rejuvenating in the water here. So when you‚Äôre ready to experience moments of refection, inspiration, and sublime beauty, come to Budapest, you‚Äôre sure to come away rejuvenated too.","['Parliament Building','GellÈrt Baths','Heroesí Square','Margaret Island','Danube Promenade','House of Terror','St. Stephenís Basilica','Hungarian State Opera House','Fishermanís Bastion','Invisible Exhibition']",Budapest (BUD) Airport
Copenhagen,Denmark,"https://maps.google.com/?q=Copenhagen,+Denmark&ftid=0x4652533c5c803d23:0x4dd7edde69467b8","http://www.expedia.com.my/Copenhagen.d178252.Travel

Copenhagen City Video Guide | Expedia","['Tivoli Gardens','Little mermaid statue','Str¯get','Nyhavn','Nationalmuseet','Christiansborg Palace','Rent a bicycle','Botanical Garden','Christiania','Rosenborg Castle']",Bornholm Airport
Dublin,Ireland,"https://maps.google.com/?q=Dublin,+Ireland&ftid=0x48670e80ea27ac2f:0xa00c7a9973171a0","Dublin ‚Äì where history and heritage thrive, and good cheer abounds. Check out the top sights and stories of the capital city and start planning a trip of your own!

When ready, browse vacation packages to Dublin: https://www.expedia.com/Dublin.d178256.Destination-Travel-Guides

Despite a long and sometimes tragic history of invasion and resistance, this thriving business capital has poetry, music and literature percolating through its cobblestones.

While #Dublin proudly honours its past, it is equally passionate about enjoying each and every new day. Nowhere is life celebrated more than in the city‚Äôs nearly 700 pubs. 

Of all the gifts, Dublin has given to the world, perhaps the most intoxicating are its stories. Originally built for the sons of the Irish gentry, the ivy-covered stone buildings of Trinity College are home to some of the oldest remaining manuscripts in the world, including the 1000-year-old Book of Kells.

Dubliner Jonathan Swift, once said, ‚ÄúMay you live all the days of your life.‚Äù There is no better way to define Dublin. Its passion for life is contagious, captivating and sure to stay with you after your #vacation here for the rest of your days.

For now, we hope you enjoy watching this #travel #guide as much as we enjoyed making it. 

More travel information around Dublin: https://www.expedia.com/Dublin.dx178256

Subscribe to Expedia‚Äôs YouTube Channel for great travel videos and join the conversation on the best vacation ideas. 

---------

Follow us on social media: 
FACEBOOK: https://www.facebook.com/expedia
TWITTER: https://twitter.com/Expedia
INSTAGRAM: https://instagram.com/expedia/
PINTEREST: https://www.pinterest.com/expedia","['Party like the Irish at The Temple Bar','Drink Inside a Restored Cathedral at The Church','Visit the Guinness Storehouse Factory','Take a Tour of the Old Jameson Distillery','Take a photo with The Spire of Dublin','Marvel at the Beauty of St. Patrickís Cathedral','Go Back in Time to Dublin Castle','Take a Walk over Haípenny Bridge','Visit Christ Church Cathedral','Have a Picnic in Phoenix Park']",Oakland International Airport
Edinburgh,UK,"https://maps.google.com/?q=Edinburgh,+UK&ftid=0x4887b800a5982623:0x64f2147b7ce71727","Edinburgh ‚Äì The capital of Scotland and safely proclaimed to be one of the world‚Äôs most beautiful cities. Click play to check out the top sights. 

When ready, browse vacation packages to Edinburgh: https://www.expedia.com/Edinburgh.d6069845.Destination-Travel-Guides

A #vacation to #Edinburgh lets you rub shoulders with history. Its Old Town and Royal Mile are filled with the ghosts of medieval merchants and poets, while its New Town shines with the glories of the Scottish Enlightenment.  

To see Edinburgh in all her glory, climb to Arthur‚Äôs Seat, the highest of the city‚Äôs seven peaks. #Visit Edinburgh Castle, the symbol of Scotland. Over the last eleven centuries, this castle has been laid siege to 26 times but still it stands, a testimony to the indomitable spirit of the Scots.
 
Explore centuries of innovation at the Scottish Museum, or head to South Queensferry to see the Forth Bridge, an engineering marvel when it opened in 1890. The Royal Botanic Gardens is one of the world‚Äôs oldest and most important centers of botanical science, yet it‚Äôs still a place which invites one to slow down.
 
For now, we hope you enjoy watching this #travel #guide as much as we enjoyed making it. 

More travel information around Edinburgh: https://www.expedia.com/Edinburgh.dx6069845

Subscribe to Expedia‚Äôs YouTube Channel for great travel videos and join the conversation on the best vacation ideas. 
 
---------

Follow us on social media: 
FACEBOOK: https://www.facebook.com/expedia
TWITTER: https://twitter.com/Expedia
INSTAGRAM: https://instagram.com/expedia/
PINTEREST: https://www.pinterest.com/expedia","['Edinburgh Castle','Princes Street','Holyrood Palace','Camera Obscura','Arthurís Seat','Mary Kingís Close','St Gilesí Cathedral','Scottish National Gallery','Scott Monument','Royal Botanic Garden']",Edinburgh Airport
Helsinki,Finland,"https://maps.google.com/?q=Helsinki,+Finland&ftid=0x46920bc796210691:0xcd4ebd843be2f763","Helsinki ‚Äì Welcome to Finland‚Äôs thriving waterfront capital. Follow us through the city to check out the coolest things to see and do here. 

When ready, browse vacation packages to Helsinki: https://www.expedia.com/Helsinki.d178261.Destination-Travel-Guides

#Helsinki is situated at the northeastern edge of the Baltic Sea between Sweden and Russia, drawing influence from both Western and Eastern European traditions.

Begin your #vacation #sightseeing. #Visit Suomenlinna Fortress which has protected the Gulf of Finland for almost 300 years. #Explore the many museums and galleries across the city, including the Helsinki Design Museum, featuring a permanent exhibition for great moments of Finnish design. 

See a theatrical or musical production at Finlandia Hall or the Helsinki Music Centre. Helsinki Cathedral is a breathtaking whitewashed structure towering above the rest of the city. Uspenski Cathedral is built with dark bricks; it is powerfully conspicuous as it rises from the surrounding white granite of the Katajanokka district. 

It‚Äôs not the sights alone that lure visitors from all over the world, it‚Äôs the people. See for yourself why Helsinki‚Äôs long-held reputation is that of one of the world‚Äôs happiest places. 

For now, we hope you enjoy watching this #travel #guide as much as we enjoyed making it. 

More travel information around Helsinki: ¬†https://www.expedia.com/Helsinki.dx178261

---------

Follow us on social media: 
FACEBOOK: https://www.facebook.com/expedia
TWITTER: https://twitter.com/Expedia
INSTAGRAM: https://instagram.com/expedia/
PINTEREST: https://www.pinterest.com/expedia","['Suomenlinna','Helsinki Cathedral','Esplanadi','Temppeliaukio Church','Seurasaari Island','Uspenski Cathedral','Old Market Hall','Urban Sauna visit','Linnanm‰ki','Crayfish parties']",Helsinki-Vantaa Airport
Lisbon,Portugal,"https://maps.google.com/?q=Lisbon,+Portugal&ftid=0xd19331a61e4f33b:0x400ebbde49036d0","Lisbon ‚Äì Welcome to the capital of Portugal. Explore the hilly streets of this coastal city and take in the rich culture here. Check out the top spots to visit. 

When ready, browse vacation packages to Lisbon: https://www.expedia.com/Lisbon-District.d178278.Destination-Travel-Guides

From a Phoenician outpost to 16th-century trading giant, from the Great Earthquake of 1755 to its glorious reconstruction, #Lisbon has long been a city of shifting fortunes.
 
On a #visit to the waterfront, find the city‚Äôs grand gateway, Pra√ßa do Com√©rcio. Pass beneath the triumphal arch, a tribute to the city‚Äôs reconstruction, and on to Rua Augusta to another of Lisbon‚Äôs great squares, the Rossio.
 
Climb aboard Tram 28, which passes some of the city‚Äôs most iconic sights, then climb the battlements of Castelo de S√£o Jorge to see the red-tiled roofs of Lisbon spread out before you.
 
Although the Great Earthquake reduced much of Lisbon to rubble, the ancient suburb of Alfama was spared. Lose yourself amid the cobblestones, where cafes, bars and artisan shops have taken residence in the dockworkers‚Äô homes of old. 

A #vacation here will reward you with some of Europe‚Äôs most beautiful beaches. 
 
For now, we hope you enjoy watching this #travel #guide as much as we enjoyed making it. 

More travel information around Lisbon: https://www.expedia.com/Lisbon-District.dx178278

Subscribe to Expedia‚Äôs YouTube Channel for great travel videos and join the conversation on the best vacation ideas. 
 
---------

Follow us on social media: 
FACEBOOK: https://www.facebook.com/expedia
TWITTER: https://twitter.com/Expedia
INSTAGRAM: https://instagram.com/expedia/
PINTEREST: https://www.pinterest.com/expedia","['Wonder at the Torre de BelÈm','Ride Tram 28','Get lost in the Alfama District','Make a trip to Sintra','Enjoy the azulejos in the National Tile Museum','Conquer the bulwarks of St Georgeís Castle','Trace glorious history in the Monastery of JerÛnimos','Go underwater in the Lisbon Oceanarium','Wonder at the master works of the National Museum of Ancient Art','Get a taste of the East in Museu do Oriente']",Lisbon (LIS) Airport
